,zpid,city,zipcode,homeType,yearBuilt,latestPrice,numPriceChanges,avgSchoolDistance,Candidate
12983,58315421,austin,78749,Single Family,2000,390000.0,1,1.6333333333333335,0
12984,29479513,austin,78736,Single Family,1981,244990.0,5,3.733333333333333,0
12985,2080139213,austin,78703,Townhouse,1983,425000.0,3,0.7666666666666666,1
12986,29491059,austin,78749,Single Family,1991,349900.0,2,1.9,0
12987,29507751,austin,78739,Single Family,1999,450000.0,1,1.3,0
12988,29482962,austin,78745,Single Family,1972,285000.0,4,1.8,1
12989,58315420,austin,78749,Single Family,2001,365000.0,2,1.6,0
12990,29486556,austin,78749,Single Family,1986,384900.0,1,3.4,0
12991,29479511,austin,78736,Single Family,1981,399000.0,2,3.733333333333333,0
12992,58314958,austin,78745,Single Family,1976,375000.0,2,0.9333333333333332,1
12993,58315415,austin,78749,Single Family,2000,447000.0,12,1.6,0
12994,58316747,austin,78739,Single Family,1999,480000.0,3,1.4333333333333331,0
12995,29327458,austin,78703,Apartment,1947,975000.0,1,0.5666666666666668,1
12996,29484506,austin,78749,Single Family,1998,749000.0,2,1.8333333333333333,0
12997,58313235,austin,78745,Single Family,1969,445000.0,9,1.133333333333333,1
12998,29479055,austin,78749,Single Family,1981,234000.0,5,2.3000000000000003,0
12999,58315414,austin,78749,Single Family,2000,355000.0,4,1.5666666666666664,0
13000,29507747,austin,78739,Single Family,1998,505000.0,3,1.3333333333333333,0
13001,29488233,austin,78745,Single Family,1966,423000.0,2,0.9666666666666668,1
13002,29491551,austin,78749,Single Family,1998,235000.0,4,1.1,0
13003,29492001,austin,78749,Single Family,1995,397500.0,2,1.3333333333333333,0
13004,29485233,austin,78745,Single Family,1965,295000.0,4,1.3333333333333333,1
13005,29499414,austin,78749,Single Family,1999,219000.0,7,1.2333333333333332,0
13006,29505247,austin,78739,Single Family,1990,555000.0,1,1.5,0
13007,29330209,austin,78746,Vacant Land,1982,725000.0,7,1.1333333333333333,0
13008,29488230,austin,78745,Single Family,1965,439000.0,2,0.9666666666666668,1
13009,29507746,austin,78739,Single Family,1998,420000.0,2,1.3333333333333333,0
13010,29479050,austin,78749,Single Family,1984,629000.0,2,2.433333333333333,0
13011,29496413,austin,78749,Single Family,1998,460000.0,2,1.1,0
13012,145652948,austin,78703,Condo,2014,749000.0,3,0.43333333333333335,1
13013,29484048,austin,78749,Single Family,1983,389900.0,1,3.4333333333333336,0
13014,29485227,austin,78745,Single Family,1967,389000.0,1,1.2666666666666668,1
